intersection,latitude,longitude,date,elements,vz_priority,borough
20th St & 5th Ave,40.6619096344,-73.992838072,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
21st St & 5th Ave,40.6613497336,-73.9934220388,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
22nd St & 5th Ave,40.6607898306,-73.9940023915,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
23rd St & 5th Ave,40.6602271799,-73.994586339,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
24th St & 5th Ave,40.6596700159,-73.9951702762,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
25th St & 5th Ave,40.6591073592,-73.9957542041,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
27th St & 5th Ave,40.6579902703,-73.9969184256,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
29th St & 5th Ave,40.6568649361,-73.9980898167,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
31st St & 5th Ave,40.6557450785,-73.9992575641,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
33rd St & 5th Ave,40.6546279546,-74.0004144603,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
36th St & 5th Ave,40.6529481283,-74.0021659495,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
37th St & 5th Ave,40.6523854358,-74.0027497595,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
38th St & 5th Ave,40.6518337186,-74.0033263525,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
39th St & 5th Ave,40.6512655306,-74.0039065388,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
40th St & 5th Ave,40.6507055739,-74.0044903196,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
41st St & 5th Ave,40.6501456142,-74.0050740906,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
44th St & 5th Ave,40.6484657163,-74.0068217411,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
45th St & 5th Ave,40.6479057446,-74.0074054717,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
46th St & 5th Ave,40.6473457689,-74.0079891937,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
47th St & 5th Ave,40.6467885363,-74.0085693027,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
48th St & 5th Ave,40.6462258108,-74.0091530048,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
49th St & 5th Ave,40.6456658271,-74.0097366975,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
50th St & 5th Ave,40.6451058395,-74.0103203803,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
51st St & 5th Ave,40.6445458502,-74.0109004499,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
52nd St & 5th Ave,40.6439858575,-74.0114841132,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
53rd St & 5th Ave,40.6434258623,-74.0120641633,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
54th St & 5th Ave,40.6428658627,-74.0126478071,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
55th St & 5th Ave,40.6423058611,-74.013231441,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
56th St & 5th Ave,40.6417458565,-74.0138150651,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
57th St & 5th Ave,40.6411858493,-74.0143950762,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
58th St & 5th Ave,40.6406258378,-74.0149786808,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
59th St & 5th Ave,40.6400658242,-74.0155622756,2022-04-16,Leading Pedestrian Interval,no,Brooklyn
